pi	EigenGWAS
Solyc01g088630	Solyc01g088770
Solyc01g088640	Solyc01g088780
Solyc01g088650	Solyc01g088790
Solyc01g088660	Solyc01g088800
Solyc01g088670	Solyc01g088810
Solyc01g088680	Solyc01g088820
Solyc01g088690	Solyc01g088830
Solyc01g088700	Solyc01g088840
Solyc01g088710	Solyc01g089840
Solyc01g088720	Solyc01g089850
Solyc01g088730	Solyc01g090200
Solyc01g088740	Solyc01g090210
Solyc01g088750	Solyc01g090220
Solyc01g088760	Solyc01g090230
Solyc01g088770	Solyc01g090240
Solyc01g088780	Solyc01g090250
Solyc01g088790	Solyc01g090260
Solyc01g088800	Solyc01g090270
Solyc01g088810	Solyc01g090280
Solyc01g088820	Solyc01g090290
Solyc01g088830	Solyc01g090560
Solyc01g088840	Solyc01g090570
Solyc01g090510	Solyc01g090580
Solyc01g090520	Solyc01g090590
Solyc01g090530	Solyc01g090600
Solyc01g090540	Solyc01g090610
Solyc01g090550	Solyc01g090620
Solyc01g090560	Solyc01g090630
Solyc01g090570	Solyc01g090640
Solyc01g090580	Solyc01g090650
Solyc01g090590	Solyc01g090660
Solyc01g090600	Solyc01g090670
Solyc01g090610	Solyc01g090680
Solyc01g090620	Solyc01g090690
Solyc01g090630	Solyc01g090700
Solyc01g090640	Solyc01g090710
Solyc01g090650	Solyc01g090720
Solyc01g090660	Solyc01g090730
Solyc01g090670	Solyc01g090740
Solyc01g090680	Solyc01g090750
Solyc01g090690	Solyc01g090760
Solyc01g090700	Solyc01g090770
Solyc01g090710	Solyc01g090780
Solyc01g090720	Solyc01g090790
Solyc01g090730	Solyc01g090800
Solyc01g090740	Solyc01g090810
Solyc01g090750	Solyc01g090820
Solyc01g090760	Solyc01g090830
Solyc01g090770	Solyc01g090840
Solyc01g090780	Solyc01g090850
Solyc01g090790	Solyc01g091150
Solyc01g090800	Solyc01g091080
Solyc01g090810	Solyc01g091090
Solyc01g090820	Solyc01g091100
Solyc01g090830	Solyc01g091110
Solyc01g090840	Solyc01g091120
Solyc01g090850	Solyc01g091130
Solyc01g090860	Solyc01g091140
Solyc01g090870	Solyc01g091160
Solyc01g090880	Solyc01g091170
Solyc01g090890	Solyc01g091180
Solyc01g090900	Solyc01g091190
Solyc01g090910	Solyc01g091200
Solyc01g090920	Solyc01g091210
Solyc01g090940	Solyc01g091220
Solyc01g090950	Solyc01g091230
Solyc01g090960	Solyc01g091240
Solyc01g090970	Solyc01g091250
Solyc01g090980	Solyc01g091260
Solyc01g090990	Solyc01g091270
Solyc01g091000	Solyc01g091280
Solyc01g091010	Solyc01g091290
Solyc01g091020	Solyc01g091300
Solyc01g091150	Solyc01g091310
Solyc01g091030	Solyc01g091320
Solyc01g091040	Solyc01g091330
Solyc01g091050	Solyc01g091340
Solyc01g091060	Solyc01g091350
Solyc01g091070	Solyc01g091360
Solyc01g091080	Solyc01g091370
Solyc01g091090	Solyc01g091380
Solyc01g091100	Solyc01g091390
Solyc01g091110	Solyc01g091950
Solyc01g091120	Solyc01g092950
Solyc01g091130	Solyc01g093960
Solyc01g091140	Solyc01g093970
Solyc01g091160	Solyc01g093980
